conm	gvkey	tic	cik	cusip
AAR CORP	001004	AIR	0000001750	000361105
ADC TELECOMMUNICATIONS INC	001013	ADCT.1	0000061478	000886309
AFA PROTECTIVE SYSTEMS INC	001019	AFAP	0000002668	001038108
AMERICAN AIRLINES GROUP INC	001045	AAL	0000006201	02376R102
CECO ENVIRONMENTAL CORP	001050	CECO	0000003197	125141101
INVESCO BOND FUND	001417	VBF	0000005094	46132L107
ASA GOLD AND PRECIOUS METALS	001062	ASA	0001230869	G3156P103
AVX CORP	001072	AVX	0000859163	002444107
PINNACLE WEST CAPITAL CORP	001075	PNW	0000764622	723484101
PROG HOLDINGS INC	001076	PRG	0001808834	74319R101
ABBOTT LABORATORIES	001078	ABT	0000001800	002824100
SERVIDYNE INC	001082	SERV.1	0000001923	81765M106
WORLDS INC	001084	WDDD	0000001961	98159J200
ACETO CORP	001094	ACETQ	0000002034	004446100
MORGUARD CORP	001096	MRCBF		617577101
ACMAT CORP  -CL A	001097	ACMTA	0000002062	004616207
ACME UNITED CORP	001104	ACU	0000002098	004816104
BK TECHNOLOGIES CORP	001117	BKTI	0000002186	05587G203
ADAMS DIVERSIFIED EQUITY FD	001119	ADX	0000002230	006212104
ADAMS RESOURCES & ENERGY INC	001121	AE	0000002178	006351308
ADVANCED MICRO DEVICES	001161	AMD	0000002488	007903107
ASM INTERNATIONAL NV	001166	ASMIY	0000351483	N07045102
AEROSONIC CORP	001173	AIM.1	0000109471	008015307
AETNA INC	001177	AET	0001122304	00817Y108
AGNICO EAGLE MINES LTD	001186	AEM	0000002809	008474108
AIR PRODUCTS & CHEMICALS INC	001209	APD	0000002969	009158106
AIR T INC	001210	AIRT	0000353184	009207101
SPIRE ALABAMA INC	001224	EGN1	0000003146	010284008
ALABAMA POWER CO	001225	SO1	0000003153	010392009
ALANCO TECHNOLOGIES INC	001228	ALAN	0000098618	011612702
ALASKA AIR GROUP INC	001230	ALK	0000766421	011659109
ATRION CORP	001234	ATRI	0000701288	049904105
ALBERTO-CULVER CO	001239	ACV.1	0001368457	013078100
MATSON INC	001254	MATX	0000003453	57686G105
ALEXANDER'S INC	001257	ALX	0000003499	014752109
TAMIR BIOTHECHNOLOGY INC	001259	ACEL.	0000708717	87509Q105
ALGOMA CENTRAL CORP	001262	AGMJF		015644107
